app_config_id,deadline,delta_t,e_fail,e_fail_multiplier,lambda,num_nodes,repetition_id,restart_overhead,dynamic__off__off,dynamic__independent__off,random__off__off,random__independent__off,static_foresighted_expected_error__off__off,static_foresighted_expected_error__independent__off,static_foresighted_error_level__off__off,static_foresighted_error_level__independent__off,static_foresighted_probability_success__off__off,static_foresighted_probability_success__independent__off,static_foresighted_success_error_ratio__off__off,static_foresighted_success_error_ratio__independent__off,static_nearsighted_expected_error__off__off,static_nearsighted_expected_error__independent__off,static_nearsighted_error_level__off__off,static_nearsighted_error_level__independent__off,static_nearsighted_probability_success__off__off,static_nearsighted_probability_success__independent__off,static_nearsighted_success_error_ratio__off__off,static_nearsighted_success_error_ratio__independent__off,num_tasks,num_options_per_task,p_fastest_single,p_slowest_single,max_error,min_error
3,10000.0,5.0,1549.0258,5.0,0.001,1,1,0.0,34.3185,34.3185,122.264,122.264,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,619.6103,2.0,0.001,1,2,0.0,34.3185,34.3185,619.61,104.935,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,619.61,619.61,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,1549.0258,5.0,0.001,1,2,0.0,34.3185,34.3185,1549.03,81.3963,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,1549.03,1549.03,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,619.6103,2.0,0.001,1,3,0.0,34.3185,34.3185,51.3226,137.854,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,1549.0258,5.0,0.001,1,3,0.0,34.3185,34.3185,130.932,101.561,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,619.6103,2.0,0.001,1,4,0.0,34.3185,34.3185,59.8246,34.3185,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,1549.0258,5.0,0.001,1,4,0.0,34.3185,34.3185,97.9882,86.5246,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,619.6103,2.0,0.001,1,5,0.0,34.3185,34.3185,221.748,170.815,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,1549.0258,5.0,0.001,1,5,0.0,34.3185,34.3185,59.8246,206.158,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,619.6103,2.0,0.001,1,6,0.0,34.3185,34.3185,182.925,221.748,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
